Fuente;Mensaje;Etiqueta;Descripcion
TWEET; Me haces tan feliz han sido los mejores meses de mi vida. Te amo amo todo de ti absolutamente todo! ?;0;BAJO_RIESGO
TWEET; Me muero por verte mi amor descansa te amo muchísimo ?? ya es tarde duerme bien sí? ?;0;BAJO_RIESGO
TWEET; Mi AMOOORRRRR ?????????? yo te quiero decir que te AMO muchísimo mi princesita bebé y que eres el amor de mi vida https://t.co/M3Qnz4DjnB;0;BAJO_RIESGO
CHAT; Mi amor muy buenos días como amaneciste mi vida?  Jajaja eso por amanecerte tanto pe! Mi pandita precioso xD;0;BAJO_RIESGO
TWEET; Muy buenos días mi amor!! Solo dejame concluir estás páginas por el resto de tus días... Bonito viernes te quiero ;0;BAJO_RIESGO
TWEET; No puede ser estoy muy enamorado de ti ? nunca lo había estado tanto de nadie pero tu has sido la excepción a tantas cosas! Que una mas? XD;0;BAJO_RIESGO
TWEET; No quiero decir que estoy llorando pero si estoy llorando de amor te amo gracias por compartir la vida conmigo ?;0;BAJO_RIESGO
TWEET; Noticias como estas me hacen tremendamente feliz... Te admiro y respeto porque creo que el amor de tu corazon;0;BAJO_RIESGO
COMENTARIO_FB; por que sigo sintiendo como si fuera la primera vez amooor y cada día me enamoras muchisisisimo más bebé te amooo??????;0;BAJO_RIESGO
COMENTARIO_FB; por sacarles una sonrisa día a día mi amor TE AMOOOOOO ??????;0;BAJO_RIESGO
CHAT; Preciosa tu me haces feliz ??? Te admiro mucho te quiero un montón ;0;BAJO_RIESGO
TWEET; PUES TÚ A MI ME HACES 100 VECES MÁS FELIZ ves? Te dije que seriamos felices!;0;BAJO_RIESGO
TWEET; Que quede claro que yo estoy y siempre estaré enamorado de ti <3;0;BAJO_RIESGO
TWEET; sabina solo quería decirte cuánto te amo eres una chica maravillosa ¡nacida para brillar! ¡Haces felices a todos los que te llegan a amar!;0;BAJO_RIESGO
TWEET; Sam sabes cuando te amo y lo feliz que me haces :D;0;BAJO_RIESGO
TWEET; Siempre asi mí amor gracias por estar a mí lado y apoyarme en todas mis locuras. Te amo;0;BAJO_RIESGO
TWEET; Te admiro mucho preciosa siempre eres luz mi solecito no hay nadie como tu :3;0;BAJO_RIESGO
TWEET; Te amo muchisimo mi amor gracias por ser parte de mi vida bb! :D;0;BAJO_RIESGO
TWEET; Te mando mucho amor!!!! Te quiero mucho Andy siempre estaré aquí para ti eso que esté claro ?;0;BAJO_RIESGO
TWEET; Te quiero muchísimo mi amor! Oye te mandé unas fotos qué opinas? Te gusta?;0;BAJO_RIESGO
CHAT; Te quiero mucho mi amor. Como te fue en la campaña? Hey que chevere buena venta? Esa es mi chica! Toda una estrella!;0;BAJO_RIESGO
TWEET; Te quiero mucho nunca lo dudes. Te esperaría una vida entera ?;0;BAJO_RIESGO
TWEET; Te quiero tantísimo mi amor que solo soy feliz cerca de ti :3;0;BAJO_RIESGO
TWEET; Tenerte a ti a mi lado es uno de los mejores regalos. Gracias por tu apoyo por tu amor incondicional ? ;0;BAJO_RIESGO
TWEET; Tranquila mi amor fuerzas haremos todo lo que esté en nuestras manos para que te mejores rapido ya vas a ver que te vas a sanar rapidito y que nos vamos a Huancayo pronto :D;0;BAJO_RIESGO
CHAT; Tú me haces feliz genoveva me guardas sanguchitos que voy en camino por favor :D Jajaja será genial conocer a tus papás al fin ya verás que seremos una familia :3;0;BAJO_RIESGO
TWEET; Tu me haces feliz todos los días!!! :D En cada amanecer hay un beso para ti :3 cursi pe pero te quiero XD;0;BAJO_RIESGO
CHAT; Tú me haces mucho más feliz !!! El afortunado soy yo :3 de que me hayas dado una oportunidad encima que estoy mas feo que el hambre XD te amo bebe;0;BAJO_RIESGO
CHAT; Tu me haces muy feliz ? no sería lo mismo mis tardes si ti te lo habia dicho?;0;BAJO_RIESGO
CHAT; Tu me haces tan feliz que no sé qué rayos hice para que te fijaras en mi JAJAJAJA pero si soy guapo no te rias XD;0;BAJO_RIESGO
CHAT; TÚ SABES LO FELIZ QUE ME HACES!? No te lo imaginas es más de lo que he sido nunca gracias por tanto amor en mi vida <3;0;BAJO_RIESGO
TWEET; Tu sacas lo mejor de mi y me haces el hombre más feliz del universo! te quieroo ?;0;BAJO_RIESGO
TWEET; Tu si que me haces feliz mi niña eres la mujer más increíble que haya conocido soy afortunado de que me quieras :D;0;BAJO_RIESGO
TWEET; Tú siempre me haces feliz jiji ???;0;BAJO_RIESGO
CONVERSACION_PUBLICADA; Y como no hacerlo? Si tengo la mejor enamorada del mundo! No mi vida tú te mereces lo mejor!;0;BAJO_RIESGO
TWEET; Y yo a ti mi amor gracias por estar al lado mío en cada pasito ?? Ahora con nuestros hijos todo será mucho mejor;0;BAJO_RIESGO
TWEET; yo te veo y veo a una mujer fuerte y muy sensible llena de amor para dar pero a la vez a una niña… https://t.co/SsDRodY8ea;0;BAJO_RIESGO
COMENTARIO_FB; 100% real cero fake jaja te amo y te juro que seremos felices juntos;0;BAJO_RIESGO
COMENTARIO_FB; siempre contigo mi amor! Estás en mi corazón! No puedo creer que no me haya dado cuenta antes;0;BAJO_RIESGO
COMENTARIO_FB; te amo tanto por eso luchamos cada dia para estar juntos ?? te amo corazón de palta ejej??;0;BAJO_RIESGO
COMENTARIO_FB; te amo amar es para siempre ? mi ojitos de cielo;0;BAJO_RIESGO
COMENTARIO_FB; VIVIMOS NUESTRO MOMENTO MÁGICO JUNTOS Gaby Cielo?;0;BAJO_RIESGO
COMENTARIO_FB; Y yo te amo cada día que pasa más y más y agradezco tanto poder tenerte y amarte ???;0;BAJO_RIESGO
TWEET;"""Amor mira cuentame como te fue hoy que hiciste"" ?????!";0;BAJO_RIESGO
TWEET;"""Buenos días mi amor. Espero estés descansando muy bien hoy tengo muchas cosas para darte. ";0;BAJO_RIESGO
TWEET;"""El buen amor es de ida y vuelta Te quiero y me quiero te cuido y me cuido  Te respeto y me respeto.";0;BAJO_RIESGO
TWEET;"""Eres el amor de mi vida pero quiero verte feliz con lo que realmente te sientas bien.""";0;BAJO_RIESGO
TWEET;@AlexaaIvannaa Como puedes ser tan hermosa niña? Estoy completamente enamorado de ti ??;0;BAJO_RIESGO
TWEET;@alextm06 jajaja si eres bb!! eres amor puro tqm y te quiero ver feliz siempreeeee;0;BAJO_RIESGO
TWEET;@angelicavale ¡Buenos días amor de mi vida! Que tengas un día maravilloso así como usted. ¡La amo con todo corazón! ??;0;BAJO_RIESGO
TWEET;@AnmariellyH Anmarielly buenos días para ti también mi amor abrazo apretado y café negro recién colado Dios nos bendiga.;0;BAJO_RIESGO
TWEET;@aptxbluev Pero tú me haces más feliz a mi  :);0;BAJO_RIESGO
TWEET;@ATEEZofficial AMOR MERECES EL UNIVERSO COME BIEN NO QUIERO QUE TE ENFERMES :'(;0;BAJO_RIESGO
TWEET;@BTS_twt Buenos días SOLO al amor de mi vida ?;0;BAJO_RIESGO
TWEET;@BTS_twt Cuídate mi amor ?? come bien y duerme bien ?? te amo;0;BAJO_RIESGO
TWEET;@byunneepuppy Buenos días mi amor. Ven te como la carita a besos.;0;BAJO_RIESGO
TWEET;@caoticuanima ¿Ya te dije lo muy enamorado que estoy de ti?;0;BAJO_RIESGO
TWEET;@CarpenterGress Y tú me haces muy feliz a mi te amo más ??;0;BAJO_RIESGO
TWEET;@CarpenterGress y tú también me haces feliz a mi mucho ??;0;BAJO_RIESGO
TWEET;@CarrazcoCristy Te quiero mucho mi amor! ???;0;BAJO_RIESGO
TWEET;@catira38c saludos mi amor muy buenos dias espero que tengas un excelente inicio de semana.;0;BAJO_RIESGO
TWEET;@chia_migue Amor gracias a ti por permitirme compartir a tu lado todas estas cosas. No sabes cuán me haces feliz! ?????;0;BAJO_RIESGO
TWEET;@CiNCObbygirl Feliz cumpleaños bebita espero que te la estés pasando súper bien en tu día. Antes que nada me gusta… https://t.co/LNkZ9RHq4h;0;BAJO_RIESGO
TWEET;@cristxleyes Quiero estar contigo a tu lado sin separarme de ti. No sabes lo feliz que me haces te amo te amo y te amo ??.;0;BAJO_RIESGO
TWEET;@CUBECLC te amo chiquita preciosa de mi corazón;0;BAJO_RIESGO
TWEET;@cxxxndy Imposible. Ya estoy muy enamorado de ti chiquitita.;0;BAJO_RIESGO
TWEET;"@Damasolitaria82 Buenos días Damita!!! Muchas gracias por tantos buenos deseos!!
Espero que tu jornada también esté… https://t.co/m42ARfDubi";0;BAJO_RIESGO
TWEET;@daysuperstar2 Amor no te estreses por tipos que no saben valorar lo que tú das te respeto y te quiero mucho;0;BAJO_RIESGO
TWEET;@Deisy_ruiz1 Buenos dias mi amor como estas?;0;BAJO_RIESGO
TWEET;@Dimecow1 buenos dias mi amor! ?? sabias que eres lo mas tierno que existe? ?? gracias por mejorar mis días siempre.… https://t.co/IaU1b2iwwG;0;BAJO_RIESGO
TWEET;@dulce_eva_vip33 Soy feliz viendo tu belleza mi amor.. Tu me haces feliz baby;0;BAJO_RIESGO
TWEET;@E_MurphyFXF amor te amo soy tu esposo y me haces imensamente feliz cada dia y mas ahora que seremos padres;0;BAJO_RIESGO
TWEET;@EdisonSotoE Buenos días mi amor te amo ??;0;BAJO_RIESGO
TWEET;@EdithLpezF1 Guuuaaaoo yupi yupi tu me haces feliz amor;0;BAJO_RIESGO
TWEET;@eld_ca Me haces my feliz doy gracias por tu existencia en esta vida. ??;0;BAJO_RIESGO
TWEET;@eluselesk Siempre voy hacerte feliz mi amor  sigamos asi hermosita te quiero muchísimo ??.;0;BAJO_RIESGO
TWEET;@flacamorena17 Buenos días mi reina bella feliz domingo amor!;0;BAJO_RIESGO
TWEET;@ggukie_jm mi estrellita te amo tanto tanto y te extraño a todas horas ): tú me haces demasiado feliz te amo muchísimo mi amor;0;BAJO_RIESGO
TWEET;@Gla22717927 Muy buenos días mi amor que tengas un martes super bello si no lo haremos besitos te quiero MUCHO????;0;BAJO_RIESGO
TWEET;@HackeVD Gracias por hacer que todo sea maravilloso como tú me haces muy feliz;0;BAJO_RIESGO
TWEET;@Hxkyeonoex_xr Te amo muchísimo mi amor gracias por siempre estar a mi lado.;0;BAJO_RIESGO
TWEET;@idkmylou ESTOY MUY EMOCIONADA TE EXTRAÑÉ MUCHOOOO TE AMO OSITA??????;0;BAJO_RIESGO
TWEET;@itcouldbelovexx Mi amor hermosaaaaaa te amo mucho eres la mejor. ???? Ehhh ya extrañaba un buen hablar contigo… https://t.co/9sJLdhG5fd;0;BAJO_RIESGO
TWEET;@jannekelacatira saludos mi amor muy buenos dias espero que tengas un excelente inicio de semana;0;BAJO_RIESGO
TWEET;@JavierArriagaG Ahora ya sabes qué era te amo y estoy aquí contigo. ??;0;BAJO_RIESGO
TWEET;@javiercarrioni ???? Otro mi amor! Te amo buenos días mi corazoncito;0;BAJO_RIESGO
TWEET;@Jazmin_hdxz 2- Eres una persona tan hermosa que mereces algo tan lindo como tú gracias por cada vez que me haces… https://t.co/ygHrQBOTkF;0;BAJO_RIESGO
TWEET;@jess_seok Mi bebé ?????? TE AMO MUCHO ???? tu también me haces feliz cuando publicas ?? https://t.co/NIOiLSpWGv;0;BAJO_RIESGO
TWEET;@josephostaiza Te quiero demasiado amor gracias por estar siempre a mi lado apoyándome en cualquier cosa! No sabes… https://t.co/pcP0jtZe9c;0;BAJO_RIESGO
TWEET;@kuranfk No sabes lo afortunado que me siento por tenerte en mi vida. Gracias por estar a mi lado mi amor te quiero muchísimo.;0;BAJO_RIESGO
TWEET;@LaurenJauregui Tú me haces más feliz de lo que creí que podía llegar a ser. ??;0;BAJO_RIESGO
TWEET;@Licevillanueva gracias amor de mi vida por estar a mi lado en todo momento te amo muchísimo ? ??;0;BAJO_RIESGO
TWEET;@LisandroLacost Te amo mucho mi amor???? gracias por estar siempre a mi lado me haces muy feliz amor ??;0;BAJO_RIESGO
TWEET;@lix_td Te amo muchísimo princesita mía. Te amo como no tienes idea y no sabes cuán enamorado estoy de ti. ??;0;BAJO_RIESGO
TWEET;@lueurceleste Tú me haces demasiado feliz en verdad gracias. Te quiero mucho.;0;BAJO_RIESGO
TWEET;@luhan_7_mm Estoy perdidamente enamorado de ti...pero eso ya lo sabías.;0;BAJO_RIESGO
TWEET;@MaddisonW_fk -cierro los ojos cuando me besas y luego te miro. -La vida empieza y acaba contigo Maddison. Mi vida… https://t.co/BxxLg1UUje;0;BAJO_RIESGO
TWEET;@MarioBautistaMB Buenos días amor de mi vida ?;0;BAJO_RIESGO
TWEET;@mazodecartas Que lindo amor te amo demasiado tanto y ya te extraño mucho:( ya quiero invernar contigo?;0;BAJO_RIESGO
TWEET;@meIitriste FELIZ CUMPLE HERMOSA TE AMO REINA;0;BAJO_RIESGO
TWEET;@MicaMontero11 Gracias por estar siempre a mi lado amor de verdad eternamente agradecido por todo;0;BAJO_RIESGO
TWEET;@MichelleCaasti1 @mcdavoo También te quiero mucho amor jajaja????;0;BAJO_RIESGO
TWEET;@MiliNotta Te amo pequeña diablaaaa ????;0;BAJO_RIESGO
TWEET;@montanertwiter Buen día Amor de mi Vida!!! Cada día te quiero más ????????;0;BAJO_RIESGO
TWEET;@mujerlunabella Estás muy  hermosa.  Y pues la verdad. Estoy enamorado de ti;0;BAJO_RIESGO
TWEET;@mujerlunabella Que estás preciosa y te admiro mucho??;0;BAJO_RIESGO
TWEET;@nimbeco Estoy tan enamorado de ti flaquita siempre juntos amor!!! Te amo te amo te amo hermosa????????????;0;BAJO_RIESGO
TWEET;@pameportuguez57 Ahh mi amor???? Es la mejor.. te quiero mucho gracias por hacerme tan feliz.??;0;BAJO_RIESGO
TWEET;@panaclo Besos preciosa Clau. Te admiro por valiente ??;0;BAJO_RIESGO
TWEET;@poisdetoile Quiero pasar el resto de mi vida a tu lado. Me haces inmensamente feliz.;0;BAJO_RIESGO
TWEET;@Polette_Ros Que hermosa eres estoy enamorado de ti;0;BAJO_RIESGO
TWEET;@politacarpa_198 Eres la mejor y estoy enamorado de ti no pares;0;BAJO_RIESGO
TWEET;@Poz3Pareja Buenos días mi bella como amanece amor. Q hoy tengas un excelente día lleno de éxitos y full bendiciones;0;BAJO_RIESGO
TWEET;@quemiraslokis Sil aqui estoy yo para mimarte abrazarte y darte ternura y mi amor te quiero;0;BAJO_RIESGO
TWEET;@RamirezClaudia_ Buenos dias preciosa te admiro!;0;BAJO_RIESGO
TWEET;@rayoestelar También te amo amor. Y te amo muchísimo con toda mi existencia gracias por permitirnos estar a tu lado.;0;BAJO_RIESGO
TWEET;@Sagaormx Me haces muy feliz tu y me encanta verte y hacerte feliz amor la otra semana vamos por más????????;0;BAJO_RIESGO
TWEET;@Sandrasaintb Me alegro mi amor!!! Te mando un DM que quiero hacerte una pregunta si amor?;0;BAJO_RIESGO
TWEET;@SantosDalia Buenos días mi amor lindo besos;0;BAJO_RIESGO
TWEET;@Sharonstefani_ Nosotros también nos preocupamos por ti corazón  buenos días mi amor que tengas un excelente día ????;0;BAJO_RIESGO
TWEET;"@Valkiri94908108 Muy buenos días mi amor ?? que tengas un hermoso viernes 
Te quiero mucho ?? https://t.co/GL1qvFKOcc";0;BAJO_RIESGO
TWEET;@victoriaruffo31 Buenos días mí amor. Te amo ??????????;0;BAJO_RIESGO
TWEET;@vnrodriguez__ Hola amor quiero decirte que eres lo mejor que le ha pasado a mi corazoncito y que te amo como no imaginas:(??;0;BAJO_RIESGO
TWEET;@YQuiiroga Si alguien ve esto ella no me regaña me da muchísimo amor te quiero princesa ????;0;BAJO_RIESGO
TWEET;@YvanizenA Como te fue amor?;0;BAJO_RIESGO
TWEET;¡¡buenos días!! te amooooo infinito y alla mi amor?? @WendiiMusic;0;BAJO_RIESGO
COMENTARIO_FB;¿Y como podría olvidarte? si tu existes en misi tu vives en mi corazón.;0;BAJO_RIESGO
TWEET;¿Y lo bien que se duerme cuando recibes todo el amor que das? Buenisimas noches ????;0;BAJO_RIESGO
COMENTARIO_FB;“Ver una sonrisa tuya alegra completamente mi día.”;0;BAJO_RIESGO
TWEET;7 meses a tu lado y cada día me voy enamorando mas y mas de ti! Me tienes loco mí amorme encantas!!!;0;BAJO_RIESGO
COMENTARIO_FB;A mí no me importa nada más que estar a tu lado te quiero muchísimo.;0;BAJO_RIESGO
TWEET;Ahora somos una familia solo quiero que estemos bien bb ?;0;BAJO_RIESGO
CONVERSACION_PUBLICADA;Amor buenos días cómo amaneciste? Alo? Amoooor despierta que no llegas a clase!!! XD;0;BAJO_RIESGO
CHAT;Amor de mi vida eso eres tu no necesito a ninguna otra mujer contigo es suficiente para mi vida entera nunca había conocido a nadie como tu :O Eres tan diferente a todas las demás;0;BAJO_RIESGO
TWEET;"Amor de mi vida que feliz y dichoso me siento a tu lado.
Hoy son 29 años de la más bella historia de amor.
Gracias… https://t.co/Whu33YUfKn";0;BAJO_RIESGO
COMENTARIO_FB;Amor mio la amo tanto y no solo es de palabra lo unico que nos falta es tiempo para estar juntos pero se que si preseveramos juntos!!! Mas adelante estaremos juntos la amo;0;BAJO_RIESGO
COMENTARIO_FB;Amor mío Samara de mi corazón hermosa ??????????????;0;BAJO_RIESGO
TWEET;amor por favor avisame cuando llegues que me preocupo por ti;0;BAJO_RIESGO
COMENTARIO_FB;Amor sincero es lo que por ti pienso lo sueño y lo escucho me encantaría pasar a tu lado;0;BAJO_RIESGO
TWEET;Amor te amo demasiado!!! Gracias por estar a mi lado y hacerme muy pero muy felizeres lo mejor que me ha pasado;0;BAJO_RIESGO
COMENTARIO_FB;Amor tu eres dueña de mi corazón nunca lo olvides.;0;BAJO_RIESGO
TWEET;–Amor ¿como te fue hoy? Cuentamelo todoo!!!;0;BAJO_RIESGO
TWEET;–Amor ¿como te fue hoy? Todo va a estar bien pequeña no te preocupes tienes mi corazon;0;BAJO_RIESGO
TWEET;"Amor buenos días otra vez ya más despierta ??????
Te amo mí tesoro ?????????? https://t.co/Z2pYZ7nE6a";0;BAJO_RIESGO
COMENTARIO_FB;amor es lo que más anhelo en la vida estar a tu lado 24/7... Te amo mi niña hermosa.... ??????????????????;0;BAJO_RIESGO
TWEET;Amor nada vale mas que tu beso fiel. Te quiero solo porque a ti te quiero. Si el mundo fuera mio te lo daria.;0;BAJO_RIESGO
TWEET;Amor tu tranquila que vamos a estar bien.;0;BAJO_RIESGO
COMENTARIO_FB;aún siento esa emoción de verte a diario y como se me acelera el corazón cuando me abrazas y me besas ??????;0;BAJO_RIESGO
COMENTARIO_FB;Aunque mi corazón deje de latir mi alma siempre te susurrara un te amo.;0;BAJO_RIESGO
COMENTARIO_FB;Aunque pase el tiempo yo te seguiré queriendo mucho.;0;BAJO_RIESGO
TWEET;Ay amoorr de mi vida gracias por estar a mi lado en cada momento gracias por cuidarme y llenarme la vida de ternura;0;BAJO_RIESGO
TWEET;Ayy amorr tranquila chi? Yo voy a estar siempre para ti siempre voy a quedarme contigo pase lo que pase;0;BAJO_RIESGO
TWEET;Bebe de mi corazon gracias por hacerme feliz cada dia lo haces con tal solo que veo tu presciosa cara te amo un monton;0;BAJO_RIESGO
TWEET;Buenas noches amor duerme bien oraré por ti ?;0;BAJO_RIESGO
TWEET;buenas noches amor duerme bien! Y SUEÑA CON LOS ANGELITOS !!! ;0;BAJO_RIESGO
TWEET;Buenos dias al amor de mi vida?? https://t.co/BTRn4tKbxz;0;BAJO_RIESGO
TWEET;Buenos días al amor.... de mi vida ??? como has estado? Todo bien?;0;BAJO_RIESGO
TWEET;"Buenos días Amor de mi vida ????
Como puede verse tan hermosa recién levantada ???????? https://t.co/K0wNLCG5iG";0;BAJO_RIESGO
TWEET;Buenos días amor de mi vida! Al final lograste dormir? Con esa bulla que me cuentas seguro fue difícil :(;0;BAJO_RIESGO
TWEET;Buenos días amor dormiste bien?;0;BAJO_RIESGO
CHAT;Buenos días bonita cómo amaneciste hoy? Todo bien por allá?;0;BAJO_RIESGO
TWEET;Buenos días Carmen princesa de mis sueños eres la única persona que me hace feliz eres la única persona que me haces feliz de verdad… https://t.co/zvvw3715Fr;0;BAJO_RIESGO
TWEET;Buenos días mi amor! Espero tengas un hermoso día sólo para recordarte lo mucho que te quiero https://t.co/sgBR0f4nIb;0;BAJO_RIESGO
TWEET;Buenos días mi amor!! Que tengas un maravilloso día te amoo. Feliz primer día de clases! ;0;BAJO_RIESGO
TWEET;Buenos días mi amor que tengas un hermoso día.  Te amo?? @ManuRamosG10;0;BAJO_RIESGO
TWEET;buenos Días Mi amor. Llegaste bien? Me preocupé ayer que no sabía de ti es que Lima es peligrosa bebé. Solo por eso se que eres una mujer confiable y te confio mi corazón ?;0;BAJO_RIESGO
CONVERSACION_PUBLICADA;Buenos días mi niña! Excelente viernes! Tu puedes e tu examen estudia duro y enorgulleceme;0;BAJO_RIESGO
TWEET;Buenos días mi vida un beso feliz día deseándote todo lo lindo para que sea un día diferente y especialgracias a ti sí pudimos ser felices!  https://t.co/yykIbGwnFI;0;BAJO_RIESGO
CHAT;Buenos días señorita todo bien? Como amaneció? :D;0;BAJO_RIESGO
TWEET;buenos dias!! Como amaneciste? Estás mejor? Ya no duele no? Que bueno que te estes recuperando;0;BAJO_RIESGO
TWEET;Buenos días @breckingfree. Eres el amor de mi vida.;0;BAJO_RIESGO
TWEET;Cada segundo de mi vida demostrare lo enamorado que estoy de ti?;0;BAJO_RIESGO
COMENTARIO_FB;Cada vez que te pienso te extraño mas pues nunca olvidare esta extraña forma de amar.;0;BAJO_RIESGO
COMENTARIO_FB;Cambiaría todo por estar un momento contigo te extraño tanto.;0;BAJO_RIESGO
TWEET;"Como amo el ""buenos días"" de mi amor ?? me llena de energía escucharlo cuando lo dice y me salta el corazoncito ? lo amo";0;BAJO_RIESGO
CONVERSACION_PUBLICADA;Como no estar loco si estoy con la niña más linda del mundo? Jajaja te amo! ;0;BAJO_RIESGO
COMENTARIO_FB;Como no te voy a querer si te llevo una vida esperando.;0;BAJO_RIESGO
TWEET;cómo te fue hoy mi niña?;0;BAJO_RIESGO
TWEET;como te ha ido mi amor? Cuentamelo todo;0;BAJO_RIESGO
TWEET;Con amor respeto y cariño ESTE MENSAJITO ES PARA TI! PARA RECORDARTE LO MUCHO QUE TE AMO!;0;BAJO_RIESGO
COMENTARIO_FB;Con cada beso abrazo y buenos días me enamoro mas de ti.;0;BAJO_RIESGO
TWEET;Con todo el corazón te digo que te quiero soy el hombre más feliz del mundo a tu lado!;0;BAJO_RIESGO
COMENTARIO_FB;Contigo encontré el verdadero amor aquel que me hace brillar.;0;BAJO_RIESGO
COMENTARIO_FB;Contigo lo bonito se vuelve infinito.;0;BAJO_RIESGO
TWEET;Creo que ahora que mi pensamiento cambió soy mucho más feliz. Tú me haces feliz y más ahora que vendré a vivir contigo;0;BAJO_RIESGO
CONVERSACION_PUBLICADA;creo que nunca me había enamorado en serio hasta que te conocí. Eres mi todo;0;BAJO_RIESGO
